"Id","RaceID","Course","Time","Dist","RaceDesc","Class","AgeLimit","Value","Going","Run","No","Draw","Form","Horse","Days","CDB","Age","Weight","Aid","Trainer","Jockey","Allow","OR","BR2","BR3","BRY","Odds","WtLbs"
1,1,"Doncaster","11:55","3m 84y","La-Z-Boy At KC Sofas Handicap Hurdle","3","3YO plus","5,809","Good to Soft","3","1",,"3PP215","Butler's Brief","14",,"8","12-0","p","A Ralph","Nick Scholfield",,"122","130","130","130","15/8","168"
2,1,"Doncaster","11:55","3m 84y","La-Z-Boy At KC Sofas Handicap Hurdle","3","3YO plus","5,809","Good to Soft","3","2",,"2118P1","Jaytee","14","CD","8","11-7","p","Ian Williams","Sam Twiston-Davies",,"115","124","124","124","1/1","161"
3,1,"Doncaster","11:55","3m 84y","La-Z-Boy At KC Sofas Handicap Hurdle","3","3YO plus","5,809","Good to Soft","3","3",,"3/341-53","Fabuleux Du Clos (FR)","76","bf","8","11-0","t p1","S G West","Jack Quinlan",,"108","114","124","124","7/2","154"
4,2,"Doncaster","12:30","2m 128y","Ace.Odds Fillies' Juvenile Maiden Hurdle (GBB Race)","4","3YO only","4,357","Good to Soft","10","1",,,"Brora Breeze","(104F)",,"3","11-0","","Rebecca Menzies","Danny McMenamin",,"-","0","0","0","8/1","154"
5,2,"Doncaster","12:30","2m 128y","Ace.Odds Fillies' Juvenile Maiden Hurdle (GBB Race)","4","3YO only","4,357","Good to Soft","10","2",,,"Clenched","(58F)",,"3","11-0","","Miss J Feilden","Jack Quinlan",,"-","0","0","0","25/1","154"
6,2,"Doncaster","12:30","2m 128y","Ace.Odds Fillies' Juvenile Maiden Hurdle (GBB Race)","4","3YO only","4,357","Good to Soft","10","3",,"5","Ezmerellda","28",,"3","11-0","","A King","Tom Cannon",,"-","101","101","101","6/1","154"
7,2,"Doncaster","12:30","2m 128y","Ace.Odds Fillies' Juvenile Maiden Hurdle (GBB Race)","4","3YO only","4,357","Good to Soft","10","4",,,"Leazy Lindsay","(63F)",,"3","11-0","","Anthony Charlton","Harry Reed",,"-","0","0","0","14/1","154"
8,2,"Doncaster","12:30","2m 128y","Ace.Odds Fillies' Juvenile Maiden Hurdle (GBB Race)","4","3YO only","4,357","Good to Soft","10","5",,,"Love True (FR)","(75F)",,"3","11-0","","Greenhall & Guerriero","Toby Wynne","3","-","0","0","0","5/2","154"
9,2,"Doncaster","12:30","2m 128y","Ace.Odds Fillies' Juvenile Maiden Hurdle (GBB Race)","4","3YO only","4,357","Good to Soft","10","6",,,"Miss Raindrop","(143F)",,"3","11-0","","Miss Tracy Waggott","Tom Midgley","3","-","0","0","0","25/1","154"
10,2,"Doncaster","12:30","2m 128y","Ace.Odds Fillies' Juvenile Maiden Hurdle (GBB Race)","4","3YO only","4,357","Good to Soft","10","7",,"8","Oceana Orange","45",,"3","11-0","","L J Morgan","Adam Wedge",,"-","0","0","0","16/1","154"
