Races_ID,RaceTime,CardNo,HorseName,AgeWt,Trainer,Jockey,Or,FFigs,Draw,Days,Age,Aid,Allow,cdb
1,Doncaster,1,Butler's Brief,12-0,A Ralph,Nick Scholfield,122,3PP215,,14,8,p,,   
1,Doncaster,2,Jaytee,11-7,Ian Williams,Sam Twiston-Davies,115,2118P1,,14,8,p,,  CD 
1,Doncaster,3,Fabuleux Du Clos (FR),11-0,S G West,Jack Quinlan,108,3/341-53,,76,8,t p1,,   bf
2,Doncaster,1,Brora Breeze,11-0,Rebecca Menzies,Danny McMenamin,-,,,(104F),3,,,   
2,Doncaster,2,Clenched,11-0,Miss J Feilden,Jack Quinlan,-,,,(58F),3,,,   
2,Doncaster,3,Ezmerellda,11-0,A King,Tom Cannon,-,5,,28,3,,,   
2,Doncaster,4,Leazy Lindsay,11-0,Anthony Charlton,Harry Reed,-,,,(63F),3,,,   
2,Doncaster,5,Love True (FR),11-0,Greenhall & Guerriero,Toby Wynne,-,,,(75F),3,,3,   
2,Doncaster,6,Miss Raindrop,11-0,Miss Tracy Waggott,Tom Midgley,-,,,(143F),3,,3,   
2,Doncaster,7,Oceana Orange,11-0,L J Morgan,Adam Wedge,-,8,,45,3,,,   
2,Doncaster,8,Ruler Of The River,11-0,S England,Jonathan England,87,23,,13,3,t,,   
2,Doncaster,9,Therapist,11-0,N J Henderson,N de Boinville,-,3,,9,3,,,   bf
2,Doncaster,10,Zooks (FR),11-0,Ian Williams,C J Todd,-,35,,21,3,,,   
3,Doncaster,1,Onemorefortheroad,11-10,N B King,Jack Quinlan,129,805-041,,13,8,p,,  CD 
3,Doncaster,2,Parisencore (FR),11-8,N G Richards,Danny McMenamin,127,1524-P2,,55,7,,,D   
3,Doncaster,3,Ukantango,11-2,Olly Murphy,S Bowen,121,2P30-92,,30,6,,,D   
3,Doncaster,4,Richhill,10-11,D Skelton,Harry Skelton,116,3124-53,,28,6,t,,   
3,Doncaster,5,Chanceux,10-9,A Ralph,Brendan Powell,114,F325-81,,13,7,h,,D   
4,Doncaster,1,Fantastic Lady (FR),11-6,N J Henderson,N de Boinville,144,U/1023-5,,48,8,,,D C  
4,Doncaster,2,Pink Legend,11-6,Miss V Williams,Charlie Deutsch,142,1311-41,,9,9,,,D   
4,Doncaster,3,Zambella (FR),11-6,N A Twiston-Davies,Sam Twiston-Davies,144,21124-1,,20,8,,,  CD 
4,Doncaster,4,Walk In Clover,11-5,D Skelton,Harry Skelton,121,423F34,,14,6,,,D   
4,Doncaster,5,Limerick Lace,11-4,G P Cromwell,Jonjo O'Neill Jr.,145,1123-12,,40,6,,,D   bf
4,Doncaster,6,Carole's Pass (FR),11-2,Amy Murphy,Jack Quinlan,125,1465-33,,39,5,,,   
4,Doncaster,7,La Renommee (FR),11-2,Dr Richard Newland & Jamie Insole,Charlie Hammond,127,113-12P,,20,5,,,D   
4,Doncaster,8,Royale Margaux (FR),11-2,T Symonds,Benjamin Poste,126,5P42-82,,14,5,t,,   
5,Doncaster,1,Parade Away,11-6,Anthony Charlton,Bradley Harris,123,4-21172,,13,5,t,5,D   bf
5,Doncaster,2,Banteer,11-0,P F Nicholls,H Cobden,-,25-53,,17,5,,,   
5,Doncaster,3,Bhaloo,11-0,N J Henderson,N de Boinville,-,4/1-3,,46,5,,,   
5,Doncaster,4,Casual Observer,11-0,Harry Derham,Paul O'Brien,-,2-4,,22,4,,,   
5,Doncaster,5,Champetre,11-0,Oliver Signy,James Davies,-,724-P,,61,5,p,,   
5,Doncaster,6,Dancing In Brazil,11-0,A King,Tom Cannon,-,1343-U2,,32,4,,,   
5,Doncaster,7,Garitsa Bay,11-0,Ian Williams,C J Todd,-,7,,36,5,,,   
5,Doncaster,8,Luke The Drifter,11-0,H D Daly,Sam Twiston-Davies,-,5/6,,37,6,,,   
5,Doncaster,9,Montecam,11-0,N J Henderson,James Bowen,-,6-4,,232,4,,,   
5,Doncaster,10,Nothinelsematters,11-0,A M Hales,Harry Bannister,-,F-P4,,230,5,,,   
5,Doncaster,11,Ronnies Reflection,11-0,B I Case,Jack Quinlan,-,,,,5,t1,,   
5,Doncaster,12,Warrior's Fate,11-0,C & A Pogson,R T Dunne,-,6/53-P6,,12,6,,,   
5,Doncaster,13,Braunton Burrows,10-7,Miss Sarah-jayne Davies,Tabitha Worsley,-,0-66,,30,4,,3,   
6,Doncaster,1,A Wave Of The Sea,12-2,B M R Haslam,Jonjo O'Neill Jr.,142,9-4404P,,20,7,,,   
6,Doncaster,2,Twinjets,11-11,P F Nicholls,H Cobden,137,2P1-931,,14,6,,,  CD 
6,Doncaster,3,Erne River,11-8,Nick Kent,Charlie Hammond,134,2408-0P,,41,8,p1,, C  
6,Doncaster,4,Lord Accord,11-5,N P Mulholland,Charlie Deutsch,131,96P9-4P,,62,8,t p,,D   
6,Doncaster,5,One More Fleurie,10-3,Ian Williams,C J Todd,115,P952P-P,,51,9,,,  CD 
6,Doncaster,6,Dreaming Blue,10-2,A J Honeyball,Rex Dingle,114,413-583,,23,6,t,, C  
7,Doncaster,1,Rewired,12-0,Dr Richard Newland & Jamie Insole,Luke Scott,115,122214-,,277,5,,3,D   
7,Doncaster,2,Tintintin (FR),12-0,F O'Brien,Jack Hogan,115,1222-01,,18,4,t,3,D   
7,Doncaster,3,Wholeofthemoon,11-9,D McCain Jnr,Peter Kavanagh,110,23-51,,14,4,h,3, C  
7,Doncaster,4,East End Girl,11-0,A Ralph,Jay Tidball,101,023-412,,42 (7F),6,,3,D   bf
7,Doncaster,5,Whyzzat,10-8,Miss Sarah-jayne Davies,Tabitha Worsley,95,1776/5-7,,30,5,,,   
8,Kelso,1,Great Pepper (FR),11-7,James Moffatt,Charlotte Jones,-,P11-1,,49,5,,3,   
8,Kelso,2,Johnny Dogs,11-7,Mrs Corbett,Sam Coltherd,-,FFP51-1,,211,6,,,   
8,Kelso,3,Clovis Island,11-0,N G Richards,Sean Quinlan,-,21-4,,49,5,,,   bf
8,Kelso,4,Greyrobin Star,11-0,G T Bewley,Edward Austin,-,3FF4-5P,,64,7,t1,5,   
8,Kelso,5,Lahardaun,11-0,G T Bewley,Jonathon Bewley,-,3F2-5,,49,6,,,   
8,Kelso,6,Mount Falcon,11-0,W T Reed,S Mulqueen,-,3P-00,,41,5,,,   
8,Kelso,7,Beat The Boum,10-13,Mrs Jacqueline Stephen,Jamie Hamilton,-,4,,242,4,,,   
8,Kelso,8,To Chase A Dream,10-13,Paul Collins,Mr John Dawson,114,81-22,,41,4,,3,   
8,Kelso,9,Somebody's Fortune,10-7,Miss Lucinda V Russell,Alan Doyle,-,632-,,251,5,,5,   
9,Kelso,1,Schalke,12-0,Rebecca Menzies,William Maggs,122,214-898,,12,8,v1,7,  CD 
